date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:10	205191/205191	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Aug%202025%2008:03:23%20GMT	https://pixelpiernyc.vamtam.com/	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/index.html	(from )
18:01:12	460094/460094	---M--	200	added ('OK')	image/webp	etag:%226571f963-7053e%22	https://pixelpiernyc.vamtam.com/wp-content/uploads/2023/11/GettyImages-1487864067.jpg	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/uploads/2023/11/GettyImages-1487864067.jpg	(from https://pixelpiernyc.vamtam.com/)
18:01:12	18544/18544	---M--	200	added ('OK')	image/gif	etag:%226578ba57-4870%22	https://pixelpiernyc.vamtam.com/wp-content/themes/pixelpiernyc/vamtam/assets/images/loader-ring.gif	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/themes/pixelpiernyc/vamtam/assets/images/loader-ring.gif	(from https://pixelpiernyc.vamtam.com/)
18:01:13	94848/94848	---MCZ	200	added ('OK')	text/css	etag:W/%2266269116-17280%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min.css?ver=6.4	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/instagram-feed-pro/css/sbi-styles.mina149.css	(from https://pixelpiernyc.vamtam.com/)
18:01:13	1480/1480	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f2b05e21b1a68867cba81ffbfaa7800c%22	https://pixelpiernyc.vamtam.com/comments/feed/	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/comments/feed/index.html	(from https://pixelpiernyc.vamtam.com/)
18:01:13	117015/117015	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f2b05e21b1a68867cba81ffbfaa7800c%22	https://pixelpiernyc.vamtam.com/feed/	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/feed/index.html	(from https://pixelpiernyc.vamtam.com/)
18:01:14	53422/53422	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-d0ae%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/frontend.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:15	30634/30634	---MCZ	200	added ('OK')	text/css	etag:W/%226877be2b-77aa%22	https://pixelpiernyc.vamtam.com/wp-content/uploads/elementor/css/post-4.css?ver=1752677931	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/uploads/elementor/css/post-489db.css	(from https://pixelpiernyc.vamtam.com/)
18:01:16	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-fe%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-image.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:17	162/162	---MCZ	200	added ('OK')	text/css	etag:W/%226866e58c-a2%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:17	1833/1833	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-729%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-spacer.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:19	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-258%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/css/widget-heading.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:20	26891/26891	---MCZ	200	added ('OK')	text/css	etag:W/%226866e58c-690b%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:21	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-82%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:22	137/137	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-89%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:23	77/77	---MCZ	200	added ('OK')	text/css	etag:W/%226866e343-4d%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:24	995/995	---MCZ	200	added ('OK')	text/css	etag:W/%226866e58c-3e3%22	https://pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min.css?ver=3.30.0	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min415f.css	(from https://pixelpiernyc.vamtam.com/)
18:01:24	21614/21614	---M-Z	200	added ('OK')	text/css	etag:%226877be92-111e%22	https://pixelpiernyc.vamtam.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1752678034	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minc116.css	(from https://pixelpiernyc.vamtam.com/)
18:01:25	2389/2389	---M-Z	200	added ('OK')	text/css	etag:%226877be92-24f%22	https://pixelpiernyc.vamtam.com/wp-content/cache/min/1/wp-content/uploads/elementor/custom-icons/theme-icons/style.css?ver=1752678034	/Users/test/Desktop/landing/pixelpiernyc.vamtam.com/wp-content/cache/min/1/wp-content/uploads/elementor/custom-icons/theme-icons/stylec116.css	(from https://pixelpiernyc.vamtam.com/)
